	reads.in	reads.out
S1_R1.fastq	108494	87977
S10_R1.fastq	229302	212582
S100_R1.fastq	126661	101181
S101_R1.fastq	150614	132925
S102_R1.fastq	146772	133672
S103_R1.fastq	366244	340616
S104_R1.fastq	339681	308417
S105_R1.fastq	176537	150667
S106_R1.fastq	409963	381879
S107_R1.fastq	162844	123467
S110_R1.fastq	461750	401964
S112_R1.fastq	49460	43272
S113_R1.fastq	342595	312178
S114_R1.fastq	331129	304547
S115_R1.fastq	109200	96798
S117_R1.fastq	254884	235364
S119_R1.fastq	350937	307307
S122_R1.fastq	353419	323560
S123_R1.fastq	225713	203143
S124_R1.fastq	140088	125925
S125_R1.fastq	105919	84419
S126_R1.fastq	380866	341856
S127_R1.fastq	536496	487825
S128_R1.fastq	210601	191488
S129_R1.fastq	90546	76435
S13_R1.fastq	246427	230047
S130_R1.fastq	387131	353136
S131_R1.fastq	217614	193390
S132_R1.fastq	133395	109974
S133_R1.fastq	244488	219885
S134_R1.fastq	141947	112473
S135_R1.fastq	303167	279799
S136_R1.fastq	129873	119730
S138_R1.fastq	110492	97111
S139_R1.fastq	361408	334807
S14_R1.fastq	215017	195747
S140_R1.fastq	33079	24939
S141_R1.fastq	161665	145047
S142_R1.fastq	45924	40471
S144_R1.fastq	372434	340876
S145_R1.fastq	106428	93940
S15_R1.fastq	207191	186555
S16_R1.fastq	51951	45907
S17_R1.fastq	226827	210349
S18_R1.fastq	70709	54401
S19_R1.fastq	190605	175335
S2_R1.fastq	258746	233259
S20_R1.fastq	78533	68818
S21_R1.fastq	14155	12624
S22_R1.fastq	83671	61199
S23_R1.fastq	165500	138095
S24_R1.fastq	104447	88550
S25_R1.fastq	154810	139356
S27_R1.fastq	69708	58645
S29_R1.fastq	92226	83184
S3_R1.fastq	29696	25983
S31_R1.fastq	98386	92007
S32_R1.fastq	160676	140773
S33_R1.fastq	30434	26654
S34_R1.fastq	231852	216706
S36_R1.fastq	130881	122889
S38_R1.fastq	155810	123597
S39_R1.fastq	114609	99138
S40_R1.fastq	102954	88259
S41_R1.fastq	80777	69026
S42_R1.fastq	161516	151018
S43_R1.fastq	26710	24707
S44_R1.fastq	89349	74266
S46_R1.fastq	96397	78264
S47_R1.fastq	188461	175068
S48_R1.fastq	31718	26722
S49_R1.fastq	121644	107021
S5_R1.fastq	98930	88018
S51_R1.fastq	103734	90436
S52_R1.fastq	17009	14712
S54_R1.fastq	193042	182405
S55_R1.fastq	183286	161893
S56_R1.fastq	133249	111665
S57_R1.fastq	229468	197421
S58_R1.fastq	107133	98625
S59_R1.fastq	203605	191888
S6_R1.fastq	211514	199936
S60_R1.fastq	138892	127837
S61_R1.fastq	172758	159699
S62_R1.fastq	228758	210207
S63_R1.fastq	131697	103216
S64_R1.fastq	151183	129644
S65_R1.fastq	228293	202697
S66_R1.fastq	106851	74125
S67_R1.fastq	247723	222604
S68_R1.fastq	70210	64757
S69_R1.fastq	197006	179837
S7_R1.fastq	117051	102597
S70_R1.fastq	248320	217931
S71_R1.fastq	167183	148736
S72_R1.fastq	160242	131726
S73_R1.fastq	90548	80779
S74_R1.fastq	156178	119274
S75_R1.fastq	207264	181524
S76_R1.fastq	30263	17206
S77_R1.fastq	117901	99016
S78_R1.fastq	231741	207803
S79_R1.fastq	140625	118789
S8_R1.fastq	118954	91396
S80_R1.fastq	96400	39171
S81_R1.fastq	46643	26045
S82_R1.fastq	312725	278569
S83_R1.fastq	217518	201386
S84_R1.fastq	270208	247874
S85_R1.fastq	342197	301317
S86_R1.fastq	80376	59108
S87_R1.fastq	244014	222004
S89_R1.fastq	176154	156779
S9_R1.fastq	79870	74727
S90_R1.fastq	66713	49895
S91_R1.fastq	218723	191772
S92_R1.fastq	74331	56050
S93_R1.fastq	268130	233773
S94_R1.fastq	93202	50389
S95_R1.fastq	31443	16995
S96_R1.fastq	227880	206676
S97_R1.fastq	317252	290181
S98_R1.fastq	396734	358134
S99_R1.fastq	193089	175185
